"nr","datum","Week","Methode","pigmentation.stage","condition.factor","Locatie_VA","Gewicht.Glasaal","Gewicht.maag.darmstelsel","Empty","ratio_visceral_total"
161,2017-04-21,16,"Artificial Substrates","VIA4",0.86,"Pumping Station",0.158,0.0051,"Empty",0.0322784810126582
164,2017-04-21,16,"Artificial Substrates","VIA0",0.84,"Ganzepoot",0.153,0.0042,"Food present",0.0274509803921569
157,2017-04-21,16,"Artificial Substrates","VIB",0.73,"Pumping Station",0.157,0.0107,"Food present",0.0681528662420382
191,2017-04-28,17,"Artificial Substrates","VIB",0.97,"Pumping Station",0.135,0.0177,"Food present",0.131111111111111
214,2017-05-05,18,"Artificial Substrates","VII",0.88,"Middle Veurne-Ambacht",0.19,0.0166,"Food present",0.0873684210526316
225,2017-05-12,19,"Artificial Substrates","VII",1.07,"Sluice Complex",0.215,0.0225,"Food present",0.104651162790698
227,2017-05-12,19,"Artificial Substrates","VIB",1.16,"Middle Veurne-Ambacht",0.266,0.0231,"Food present",0.0868421052631579
169,2017-04-21,16,"Artificial Substrates","VIA4",0.9,"Middle Veurne-Ambacht",0.282,0.0182,"Food present",0.0645390070921986
186,2017-04-28,17,"Artificial Substrates","VIB",0.79,"Pumping Station",0.201,0.0141,"Food present",0.0701492537313433
210,2017-05-05,18,"Artificial Substrates","VIA4",0.82,"Sluice Complex",0.202,0.0174,"Food present",0.0861386138613861
224,2017-05-12,19,"Artificial Substrates","VIB",1.1,"Sluice Complex",0.163,0.0231,"Food present",0.141717791411043
170,2017-04-21,16,"Artificial Substrates","VIA4",0.81,"Middle Veurne-Ambacht",0.156,0.01,"Food present",0.0641025641025641
137,2017-04-14,15,"Artificial Substrates","VIA4",0.99,"Pumping Station",0.114,0.0065,"Food present",0.0570175438596491
111,2017-04-07,14,"Artificial Substrates","VIA4",0.89,"Pumping Station",0.188,0.0126,"Food present",0.0670212765957447
105,2017-04-07,14,"Artificial Substrates","VIA4",0.78,"Pumping Station",0.227,0.002,"Food present",0.00881057268722467
103,2017-04-07,14,"Artificial Substrates","VIA4",0.93,"Pumping Station",0.18,0.0051,"Food present",0.0283333333333333
23,2017-03-17,11,"Artificial Substrates","VB",0.89,"Pumping Station",0.191,0.0035,"Food present",0.0183246073298429
215,2017-05-05,18,"Artificial Substrates","VIB",0.96,"Middle Veurne-Ambacht",0.211,0.013,"Food present",0.0616113744075829
206,2017-05-05,18,"Artificial Substrates","VIB",1,"Sluice Complex",0.206,0.0142,"Food present",0.0689320388349515
195,2017-04-28,17,"Artificial Substrates","VII",1.03,"Pumping Station",0.214,0.0252,"Food present",0.117757009345794
100,2017-04-07,14,"Artificial Substrates","VIA1",0.93,"Ganzepoot",0.229,0.007,"Empty",0.0305676855895196
