"","nr","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1",161,2.952,0.559,24.034,0.607,4.083,0.614,0.399,6.546,17.207,3.987,0.952,0.244,0.57,1.31,0.276,0.19,0.064,3.108,2.49,7.091,1.946,0.532,2.933,16.861
"2",164,2.802,0.476,23.652,0.644,4.086,0.562,0.347,6.378,17.104,4.287,0.864,0.216,0.678,1.426,0.287,0.157,0.087,2.729,2.898,6.467,2.27,0.28,3.154,17.461
"3",157,1.08,0.343,23.174,0.463,2.482,0.446,0.224,7.773,12.688,2.772,0.717,0.282,0.359,0.748,0.102,0.152,0.152,4.182,1.913,8.134,3.053,0.527,3.664,23.645
"4",191,1.166,0.394,21.627,0.42,2.692,0.768,0.356,8.778,13.644,3.199,0.865,0.397,0.267,0.895,0.084,0.084,0.091,5.787,1.43,7.187,3.514,0.698,2.861,22.522
"5",214,1.2,0.442,21.864,0.644,2.631,0.671,0.408,8.189,13.283,3.408,0.726,0.371,0.394,0.701,0.143,0.198,0.146,4.108,1.758,8.667,3.694,0.43,3.278,22.279
"6",225,1.058,0.451,20.255,0.821,2.528,0.757,0.371,8.73,11.764,4.37,0.846,0.303,0.219,0.547,0.096,0.277,0.175,4.514,1.599,10.633,3.338,0.591,3.464,21.54
"7",227,2.525,0.416,22.94,0.561,6.029,0.495,0.566,7.398,13.777,4.278,1.156,0.267,0.596,1.009,0.213,0.193,0.059,2.3,1.644,8.629,2.259,0.455,4.252,17.602
"8",169,1.914,0.443,23.476,0.604,2.985,0.487,0.337,7.39,14.503,4.153,0.8,0.235,0.439,1.041,0.144,0.159,0.106,2.769,2.133,8.082,2.599,0.432,4.006,20.433
"9",186,2.043,0.408,23.293,0.582,4.088,0.519,0.322,6.983,15.955,4.09,0.871,0.27,0.587,1.13,0.227,0.162,0.193,3.375,2.105,7.438,2.478,0.413,3.368,18.423
"10",210,1.692,0.368,22.957,0.576,3.305,0.496,0.504,7.542,15.514,3.945,0.788,0.257,0.507,1.124,0.182,0.187,0.125,2.582,2.33,7.898,2.86,0.451,3.493,19.916
