Datum;Locatie;temperatuur (°C);Sp. Conductiviteit 25°C (µS/cm);Conductiviteit (µS/cm);zuurstof (%);zuurstof (mg/l);pH;secchi-diepte (cm);;
24/02/2017;VA_PG_RO_opp;8;2350;;91;;8,43;;;
3/03/2017;VA_PO;6,5;1505;;87;;8,05;;;
3/03/2017;VA_PG_LO_opp;6,4;1744;;81,5;;8,09;40;;
3/03/2017;VA_PG_LO_bod;6,2;1741;;80,8;;8,09;;;
3/03/2017;VA_PG_MI_opp;;;;;;;;;
3/03/2017;VA_PG_MI_bod;;;;;;;;;
3/03/2017;VA_PG_RO_opp;6,4;1734;;83,3;;8,05;40;;
3/03/2017;VA_PG_RO_bod;6,6;1742;;81,3;;8,08;;;
3/03/2017;VA_MI_LO_opp;6,4;1752;;81,9;;8,08;40;;
3/03/2017;VA_MI_LO_bod;6,4;1752;;81,6;;8,09;;;
3/03/2017;VA_MI_MI_opp;;;;;;;;;
3/03/2017;VA_MI_MI_bod;;;;;;;;;
3/03/2017;VA_MI_RO_opp;6,3;1746;;81,2;;8,09;40;;
3/03/2017;VA_MI_RO_bod;6,3;1747;;80,5;;8,09;;;
3/03/2017;VA_SC_LO_opp;6,3;1751;;80,7;;8,09;41;;
3/03/2017;VA_SC_LO_bod;6,3;1753;;80,5;;8,09;;;
3/03/2017;VA_SC_MI_opp;;;;;;;;;
3/03/2017;VA_SC_Mi_bod;;;;;;;;;
3/03/2017;VA_SC_RO_opp;6,4;1740;;82,5;;8,09;42;;
3/03/2017;VA_SC_RO_bod;6,4;1745;;81,9;;8,09;;;
4/03/2017;VA_PG_NA;6,5;1748;;81,8;;8,07;;;
10/03/2017;VA_PO;9,1;1570;;76,1;;7,78;;;
10/03/2017;VA_PG_LO_opp;8,9;1688;;64,5;;7,86;53;;
10/03/2017;VA_PG_LO_bod;8,6;1697;;64,2;;7,84;;;
10/03/2017;VA_PG_MI_opp;8,8;1690;;62,4;;7,84;;;
10/03/2017;VA_PG_MI_bod;8,6;1702;;62;;7,84;;;
10/03/2017;VA_PG_RO_opp;8,6;1685;;61,6;;7,83;52;;
10/03/2017;VA_PG_RO_bod;8,6;1695;;61,9;;7,84;;;
10/03/2017;VA_MI_LO_opp;8,8;1712;;66,2;;7,86;54;;
10/03/2017;VA_MI_LO_bod;8,6;1715;;66,1;;7,86;;;
10/03/2017;VA_MI_MI_opp;8,7;1713;;65,2;;7,86;;;
10/03/2017;VA_MI_MI_bod;8,6;1714;;65,3;;7,86;;;
10/03/2017;VA_MI_RO_opp;8,8;1712;;65,6;;7,87;52;;
10/03/2017;VA_MI_RO_bod;8,6;1713;;65,5;;7,87;;;
10/03/2017;VA_SC_LO_opp;8,6;1713;;66,8;;7,8;53;;
10/03/2017;VA_SC_LO_bod;8,6;1718;;66,7;;7,8;;;
10/03/2017;VA_SC_MI_opp;8,7;1721;;66,2;;7,87;;;
10/03/2017;VA_SC_Mi_bod;8,6;1718;;66,1;;7,8;;;
10/03/2017;VA_SC_RO_opp;8,6;1713;;66,8;;7,88;53;;
10/03/2017;VA_SC_RO_bod;8,6;1718;;66,9;;7,87;;;
10/03/2017;VA_PG_NA;8,9;1661;;71,1;;7,83;;;
13/03/2017;VA_PG_MI_opp;10,1;1800;;80,8;;7,87;;;
17/03/2017;VA_PO;10,8;1888;;84,8;;7,92;;;
17/03/2017;VA_PG_LO_opp;10,8;1951;;77,6;;7,91;55;;
17/03/2017;VA_PG_LO_bod;10,8;2160;;74;;7,9;;;
17/03/2017;VA_PG_MI_opp;10,8;2390;;73,7;;7,9;;;
17/03/2017;VA_PG_MI_bod;10,8;2350;;73,5;;7,91;;;
17/03/2017;VA_PG_RO_opp;11;1978;;77,7;;7,93;55;;
17/03/2017;VA_PG_RO_bod;11;1978;;75,8;;7,92;;;
17/03/2017;VA_MI_LO_opp;11;2290;;79,7;;7,92;55;;
17/03/2017;VA_MI_LO_bod;10,9;2480;;75,4;;7,91;;;
17/03/2017;VA_MI_MI_opp;11;2250;;84,1;;7,93;;;
17/03/2017;VA_MI_MI_bod;10,9;2310;;77,3;;7,91;;;
17/03/2017;VA_MI_RO_opp;11,1;2280;;83,2;;7,94;55;;
17/03/2017;VA_MI_RO_bod;11;2350;;78,1;;7,92;;;
17/03/2017;VA_SC_LO_opp;11;2640;;81;;7,92;55;;
17/03/2017;VA_SC_LO_bod;11;2760;;75,8;;7,91;;;
17/03/2017;VA_SC_MI_opp;11;2580;;77;;7,92;;;
17/03/2017;VA_SC_Mi_bod;11;2800;;75;;7,91;;;
17/03/2017;VA_SC_RO_opp;11,1;2530;;74,9;;7,92;54;;
17/03/2017;VA_SC_RO_bod;11,1;2580;;75,2;;7,92;;;
18/03/2017;VA_PG_NA;10,4;2250;;83,8;;8,1;;;
21/03/2017;VA_PG_LO_opp;9,7;3600;;88,1;;8,34;;;
24/03/2017;VA_PO;11,1;2250;;91,3;;8,27;;;
24/03/2017;VA_PG_LO_opp;10;13450;;82,1;;8,4;89;;
24/03/2017;VA_PG_LO_bod;9,7;25900;;76,3;;8;;;
24/03/2017;VA_PG_MI_opp;9,7;4920;;94,9;;8,42;;;
24/03/2017;VA_PG_MI_bod;9,7;25100;;89;;8,09;;;
24/03/2017;VA_PG_RO_opp;9,4;5170;;86,4;;8,42;94;;
24/03/2017;VA_PG_RO_bod;9,7;13380;;83,7;;8,4;;;
24/03/2017;VA_MI_LO_opp;9,9;23000;;71,6;;8,22;84;;
24/03/2017;VA_MI_LO_bod;9,8;25000;;70,5;;8;;;
24/03/2017;VA_MI_MI_opp;10;20100;;74,3;;8,34;;;
24/03/2017;VA_MI_MI_bod;9,6;25200;;74,9;;8,01;;;
24/03/2017;VA_MI_RO_opp;9,9;23300;;72,3;;8,14;80;;
24/03/2017;VA_MI_RO_bod;9,7;25100;;71,9;;8,04;;;
24/03/2017;VA_SC_LO_opp;10,1;15330;;73,2;;8,2;83;;
24/03/2017;VA_SC_LO_bod;9,7;23000;;73;;8,07;;;
24/03/2017;VA_SC_MI_opp;10,1;19230;;73,2;;8,1;;;
24/03/2017;VA_SC_Mi_bod;9,6;23500;;72,7;;8,02;;;
24/03/2017;VA_SC_RO_opp;10,1;15300;;75,3;;8,15;86;;
24/03/2017;VA_SC_RO_bod;9,7;23600;;77,7;;8,05;;;
24/03/2017;VA_PG_NA;10,3;5450;;97;;8,43;;;
27/03/2017;VA_PG_MI;12,4;31200;;94;;8,08;;;
31/03/2017;VA_PO;13,7;2580;;135;;8,48;;;
31/03/2017;VA_PG_LO_opp;11,1;39300;;115,5;;8,18;92;;
31/03/2017;VA_PG_LO_bod;11;41000;;114,8;;8,25;;;
31/03/2017;VA_PG_MI_opp;11,6;39800;;131,2;;8,3;;;
31/03/2017;VA_PG_MI_bod;11,2;40800;;131,6;;8,31;;;
31/03/2017;VA_PG_RO_opp;11,6;39700;;123;;8,23;94;;
31/03/2017;VA_PG_RO_bod;11,1;41400;;126;;8,22;;;
31/03/2017;VA_MI_LO_opp;12,6;36100;;118,5;;8,18;93;;
31/03/2017;VA_MI_LO_bod;11,2;40600;;116,6;;8,23;;;
31/03/2017;VA_MI_MI_opp;12,6;36600;;115,9;;8,27;;;
31/03/2017;VA_MI_MI_bod;11,6;40900;;115,9;;8,19;;;
31/03/2017;VA_MI_RO_opp;12,6;36600;;124,2;;8,27;94;;
31/03/2017;VA_MI_RO_bod;11;41600;;115,7;;8,15;;;
31/03/2017;VA_SC_LO_opp;13;32100;;119,4;;8,32;92;;
31/03/2017;VA_SC_LO_bod;11,5;40400;;115,4;;8,16;;;
31/03/2017;VA_SC_MI_opp;12,8;32500;;120,5;;8,33;;;
31/03/2017;VA_SC_Mi_bod;11,5;41700;;116;;8,18;;;
31/03/2017;VA_SC_RO_opp;12,7;32300;;126;;8,32;92;;
