Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
1;10/03/2017;VA_PG_RO_PA;77;347;VB;0,76;;;;;;;;;;;;;;
2;10/03/2017;VA_PG_RO_PA;74;315;VB;0,78;;;;;;;;;;;;;;
3;10/03/2017;VA_PG_RO_PA;70;265;VIA0;0,77;;;;;;;;;;;;;;
4;10/03/2017;VA_PG_RO_PA;68;266;VB;0,85;;;;;;;;;;;;;;
5;10/03/2017;VA_PG_RO_PA;76;356;VB;0,81;;;;;;;;;;;;;;
6;11/03/2017;VA_PG_LO_PA;66;313;VIA2;1,09;;;;;;;;;;;;;;
7;10/03/2017;VA_PG_KR_NA;66;273;VB;0,95;;;;;;;;;;;;;;
8;10/03/2017;VA_PG_KR_NA;71;260;VIA0;0,73;;;;;;;;;;;;;;
9;10/03/2017;VA_PG_KR_NA;70;246;VB;0,72;;;;;;;;;;;;;;
10;10/03/2017;VA_PG_KR_NA;69;267;VB;0,81;;;;;;;;;;;;;;
11;10/03/2017;VA_PG_KR_NA;64;238;VB;0,91;;;;;;;;;;;;;;
12;17/03/2017;VA_PG_RO_PA;72;286;VIA2;0,77;;;;;;;;;;;;;;
13;17/03/2017;VA_PG_RO_PA;74;450;VIA1;1,11;;;;;;;;;;;;;;
14;17/03/2017;VA_PG_RO_PA;76;402;VIA0;0,92;;;;;;;;;;;;;;
15;17/03/2017;VA_PG_RO_PA;69;237;VIA2;0,72;;;;;;;;;;;;;;
16;17/03/2017;VA_PG_RO_PA;79;380;VIA3;0,77;;;;;;;;;;;;;;
17;17/03/2017;VA_PG_LO_PA;65;302;VIA2;1,10;;turbid;;;;;;;;;;;;
18;17/03/2017;VA_PG_LO_PA;73;324;VB;0,83;;;;;;;;;;;;;;
19;17/03/2017;VA_PG_LO_PA;70;293;VIA2;0,85;;;;;;;;;;;;;;
20;17/03/2017;VA_PG_LO_PA;74;360;VIA3;0,89;;;;;;;;;;;;;;
21;17/03/2017;VA_PG_LO_PA;71;257;VIA3;0,72;;;;;;;;;;;;;;
22;17/03/2017;VA_PG_LO_PA;68;261;VB;0,83;;turbid;;;;;;;;;;;;
23;17/03/2017;VA_PG_RO_SU;69;292;VB;0,89;;;;;;;;;;;;;;
24;17/03/2017;VA_PG_RO_SU;63;262;VB;1,05;;;;;;;;;;;;;;
25;17/03/2017;VA_PG_RO_SU;69;278;VB;0,85;;;;;;;;;;;;;;
26;17/03/2017;VA_PG_RO_SU;76;363;VB;0,83;;;;;;;;;;;;;;
27;17/03/2017;VA_PG_RO_SU;66;274;VIA3;0,95;;;;;;;;;;;;;;
