Year;Catch (kg);;;;;
1964;3,7;;;;;
1965;115;;;;;
1966;385;;;;;
1967;575;;;;;
1968;553,5;;;;;
1969;445;;;;;
1970;795;;;;;
1971;399;;;;;
1972;556,5;;;;;
1973;354;;;;;
1974;946;;;;;
1975;274;;;;;
1976;496;;;;;
1977;472;;;;;
1978;370;;;;;
1979;530;;;;;
1980;252;;;;;
1981;90;;;;;
1982;129;;;;;
1983;25;;;;;
1984;6;;;;;
1985;15;;;;;
1986;27,5;;;;;
1987;36,5;;;;;
1988;48,2;;;;;
1989;9,1;;;;;
1990;218,2;;;;;
1991;13;;;;;
1992;18,9;;;;;
1993;11,8;;;;;
1994;17,5;;;;;
1995;1,5;;;;;
1996;4,5;;;;;
1997;9,8;;;;;
1998;2,255;;;;;
1999;0;;;;;
2000;17,85;;;;;
2001;0,7;;;;;
2002;1,4;;;;;
2003;0,539;;;;;
2004;0,381;;;;;
2005;0,787;;;;;
2006;0,065;;;;;
2007;2,214;;;;;
2008;0,964;;;;;
2009;0,969;;;;;
2010;0,318;;;;;
2011;0,413;;;;;
2012;2,408;;;;;
2013;2,579;;;;;
2014;6,717;;;;;
2015;2,489;;;;;
2016;1,023;;;;;
2017;1,694;;;;;
2018;1,75;;;;;
2019;2,415;;;;;
