nr	Potje staart vetzuuranalyse	Potje Maaginhoud	datum	Locatie	Gewicht Glasaal	Gewicht maag-darmstelsel	Opmerkingen	Microplastics/Contaminatie/vezels (katoen?)	Afmeting	Cladocera sp.	Afmeting	Annelida	Afmeting	Polychaete	Afmeting	Isopoda	Afmeting	Diptera sp.	Afmeting	Chironomide thummi-plummosus	Afmeting	Crustaceae sp.	Afmeting	Cycloida sp.		Invertebrata (larve) sp.		Daphnidae sp. (ingekapseld)		Cladocera sp. (Chydorus sphaericus)		Amphipoda sp.		Calanoide Copepode (Pseudocalanus elongatus)		Gammarus		Calanoide copepode		unidentifiable eggs		Copepoda sp.		Copepoda (Oithona similis, male)		Harpacticoid Copepod		Pleuroxus sp.		Chydorus sp.		Detritus/plantenafval		Plantae sp.		Pennate diatomee		Detritus met schimmelfilamenten		Invertebrate sp.		Hexapode sp. ()		keverlarve		Chironomide (Non thummi plumosus)		Nereis sp.		Amphipode (Atylus sp.)		Chironomide sp.		Simulium sp.
60	A	1	24/03/2017	PG-KR	0,211	0,211		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
278	A	1	12/05/2017	MI-RO-SU	0,294	0,021		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
215	A	1	5/05/2017	MI-RO-SU	0,211	0,013		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
183	A	1	28/04/2017	PG-LO-SU	0,147	0,001		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
219	A	1	12/05/2017	PG-PA-RO	0,227	0,006		0		1	3x11	1		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
242	A	1	15/05/2017	PG-LO-PA	0,200	0,009	Maaginhoud nog te analyseren	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
105	A	1	7/04/2017	PG-LO-SU	0,227	0,002	maagdarm wss niet in een stuk uitgehaald	0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
15	A	1	17/03/2017	PG-R	0,110	0,003		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
269	A	1	24/05/2017	PG-LO-SU	0,274	0,022		0		0		0		1		0		0		1		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
92	A	1	7/04/2017	PG-R	0,176	0,004		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
155	A	1	21/04/2017	PG-RO	0,118	0,006	"maagdarm zeer goed uitgeprepareerd; maag en darm gevuld met oranje substantie"	0		0		0		0		0		0		0		2		7		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
181	A	1	28/04/2017	PG-LO	0,193	0,018	gevonden onbekende larve zeer groot	0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
259	A	1	24/05/2017	PG-LI-PA	0,202	0,022	gevonden onbekende larve zeer groot	0		0		0		1		0		0		0		0		0		1		1		7		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
74	A	2	31/03/2017	PG-SU-RO	0,235	0,006	onidentificeerbaar teer hoopje cellen in de maag, nog eens bekijken met sterkere vergroting	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
243	A	2	15/05/2017	PG-LO-PA	0,130	0,01	"te verteerde onidentificeerbare massa;"	0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
170	A	2	21/04/2017	MI-RO-SU	0,156	0,01	Nog eens nagaan, misschien verder determineren	0		0		0		0		0		0		0		0		0		0		0		0		2		3		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
182	A	2	28/04/2017	PG-LO	0,190	0,012	3 onidentificeerbare massa's gevonden, zitten op draagglaasjes	2		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1		22		0		0		0		0		0		0		1		1		0		0		0		0		0		0		0		0		0
234	A	2	12/05/2017	PG-LO-PA	0,205	0,014	Foto van 1 onbekende copepode genomen, checken: IMG_20181113_200918567	0		0		0		0		0		0		0		0		5		0		0		0		0		0		0		2		0		9		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
85	A	2	1/04/2017	KR	0,233	0,009	"Onbekende groene structuur, zit in de map + foto (alg?); maag leek wel gevuld, maar eventueel microscopische organismen. Niets ter grote van een copepode"	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
100	A	2	7/04/2017	GA-SU	0,229	0,007	Onbekende tandachtige structuur, foto genomen	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
158	A	2	21/04/2017	PG-SU-LO	0,179	0,008	Maybe a polychaete, but was very digested so nothing recognizable, stomach was not empty however	0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
80	A	2	31/03/2017	PG-SU-LO	0,180	0,007	Onbekende voedselbolus met draadvormige structuren in, foto, doorgemaild naar PJ	0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
192	A	2	28/04/2017	PG-LO-SU	0,170	0,019	"Pleuroxus is misschien Chydorus; De andere cladoceer is misschien Chydorus sphaericus; onherkenbare felblauwe structuur gevonden"	1		11		0		0		0		0		0		0		4		0		0		0		0		0		0		2		1		64		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0
203	A	3	5/05/2017	PG-RO-PA	0,178	0,009	Joekel van een copepode nog eens aan marleen tonen	0		0		0		0		0		0		0		0		3		0		0		0		0		0		0		0		0		15		0		0		0		1		3		0		0		1		0		0		0		0		0		0		0		0
87	A	3	1/04/2017	KR	0,243	0,0087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
106	A	3	7/04/2017	PG-LO-SU	0,108	0,0047		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
14	A	3	17/03/2017	PG-R	0,250	0,007	Polychaete worm wss, maar best nog eens checken	0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
13	A	3	17/03/2017	PG-R	0,223	0,009	Misschien Polychaeta, nog eens checken	0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
62	A	3	24/03/2017	PG-KR	0,188	0,0071		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
34	A	3	24/03/2017	PG-PA-RO	0,191	0,0085	"Plantenmateriaal gevonden; "	0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
27	A	3	17/03/2017	SU-PG-RO	0,158	0,0035		0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
56	A	3	24/03/2017	PG-SU-LO	0,156	0,0065		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0		0		0		0		0
36	A	3	24/03/2017	PG-RO	0,061	0,004		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1		0		0		0		0		0		3		0		0		0		0		0		0		0		0		0		0		0
