nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
1;10/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;10/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;10/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4;10/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;10/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6;10/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
7;11/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;11/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9;11/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;11/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11;11/03/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
12;17/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13;17/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;17/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;17/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
16;17/03/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
17;17/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
18;17/03/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
