Group;Method;Frequency
Anorganic.Material;Eel Ladders;0.013086150
Amphipoda.sp.;Eel Ladders;0.013086150
Polychaete;Eel Ladders;0.033805889
Copepoda.sp.;Eel Ladders;0.041439477
Cladocera.sp.;Eel Ladders;0.130861505
Unidentified.sp.;Eel Ladders;0.073064340
Harpacticoida.sp.;Eel Ladders;0.006543075
Cyclopoida.sp.;Eel Ladders;0.657579062
Other;Eel Ladders;0.030534351
Anorganic.Material;Artificial Substrate;0.01542589
Amphipoda.sp.;Artificial Substrate;0.02079142
Polychaete;Artificial Substrate;0.04493628
Copepoda.sp.;Artificial Substrate;0.07042254
Cladocera.sp.;Artificial Substrate;0.02213280
Unidentified.sp.;Artificial Substrate;0.05298457
Harpacticoida.sp.;Artificial Substrate;0.21797451
Cyclopoida.sp.;Artificial Substrate;0.53923541
Other;Artificial Substrate;0.01609658
Anorganic.Material;Lift Nets;0.12195122
Amphipoda.sp.;Lift Nets;0.00000000
Polychaete;Lift Nets;0.07317073
Copepoda.sp.;Lift Nets;0.00000000
Cladocera.sp.;Lift Nets;0.00000000
Unidentified.sp.;Lift Nets;0.46341463
Harpacticoida.sp.;Lift Nets;0.14634146
Cyclopoida.sp.;Lift Nets;0.09756098
Other;Lift Nets;0.09756098
