Datum;Locatie;lengte (mm);gewicht (mg);pigmentatie
4/03/2016;VA_PG_LO_PA;67;200;VIA3
4/03/2016;VA_PG_LO_PA;64;200;VIA2
4/03/2016;VA_PG_LO_PA;72;300;VIA4
4/03/2016;VA_PG_LO_PA;67;200;VIA3
4/03/2016;VA_PG_LO_PA;67;300;VIA3
11/03/2016;VA_PG_LO_PA;76;358;VIA4
11/03/2016;VA_PG_LO_PA;78;394;VIA4
11/03/2016;VA_PG_LO_PA;80;425;VIA1
11/03/2016;VA_PG_LO_PA;80;510;VIB
11/03/2016;VA_PG_RO_PA;66;231;VB
11/03/2016;VA_PG_RO_PA;78;383;VIA2
11/03/2016;VA_PG_RO_PA;69;266;VIA1
11/03/2016;VA_PG_RO_PA;74;320;VIA2
11/03/2016;VA_PG_RO_PA;64;174;VIA1
11/03/2016;VA_PG_RO_PA;72;371;VIA4
11/03/2016;VA_PG_RO_PA;72;364;VIA3
11/03/2016;VA_PG_RO_PA;77;353;VIA3
11/03/2016;VA_PG_RO_PA;72;330;VIA3
11/03/2016;VA_PG_RO_PA;77;351;VB
11/03/2016;VA_PG_RO_PA;71;293;VIA1
11/03/2016;VA_PG_RO_PA;76;357;VB
11/03/2016;VA_PG_RO_PA;65;230;VIA0
11/03/2016;VA_PG_RO_PA;74;313;VB
11/03/2016;VA_PG_RO_PA;73;290;VIA0
11/03/2016;VA_PG_RO_PA;73;344;VIA1
11/03/2016;VA_PG_RO_PA;74;360;VIA2
11/03/2016;VA_PG_RO_PA;67;300;VIA4
11/03/2016;VA_PG_RO_PA;77;368;VIA3
11/03/2016;VA_PG_RO_PA;73;339;VB
11/03/2016;VA_PG_RO_PA;73;404;VIA1
11/03/2016;VA_PG_RO_PA;69;271;VIA1
11/03/2016;VA_PG_RO_PA;75;365;VIA1
11/03/2016;VA_PG_RO_PA;75;328;VIA1
11/03/2016;VA_PG_RO_PA;70;304;VB
11/03/2016;VA_PG_RO_PA;65;231;VIA1
11/03/2016;VA_PG_RO_PA;71;316;VIA0
11/03/2016;VA_PG_RO_PA;74;355;VIA3
11/03/2016;VA_PG_RO_PA;72;306;VIA2
11/03/2016;VA_PG_RO_PA;67;212;VIA0
11/03/2016;VA_PG_RO_PA;73;322;VIA3
11/03/2016;VA_PG_RO_PA;75;376;VIA3
11/03/2016;VA_PG_RO_PA;70;279;VB
11/03/2016;VA_PG_RO_PA;70;303;VB
11/03/2016;VA_PG_RO_PA;76;424;VIA0
11/03/2016;VA_PG_RO_PA;75;343;VIA3
11/03/2016;VA_PG_RO_PA;75;308;VB
11/03/2016;VA_PG_RO_PA;69;316;VIA1
11/03/2016;VA_PG_RO_PA;72;324;VB
11/03/2016;VA_PG_RO_PA;73;351;VIA4
11/03/2016;VA_PG_RO_PA;71;250;VIA3
11/03/2016;VA_PG_RO_PA;75;378;VIA3
11/03/2016;VA_PG_RO_PA;68;302;VB
11/03/2016;VA_PG_RO_PA;77;385;VIA3
11/03/2016;VA_PG_RO_PA;77;373;VIA4
11/03/2016;VA_PG_RO_PA;71;330;VB
11/03/2016;VA_PG_RO_PA;74;358;VB
11/03/2016;VA_PG_RO_PA;69;304;VIA3
11/03/2016;VA_PG_RO_PA;74;317;VIA3
11/03/2016;VA_PG_RO_PA;79;376;VIA3
11/03/2016;VA_PG_RO_PA;74;372;VIA2
11/03/2016;VA_PG_RO_PA;72;318;VIA3
12/03/2016;VA_PG_KR_NA;73;332;VIA1
12/03/2016;VA_PG_KR_NA;75;341;VIA1
12/03/2016;VA_PG_KR_NA;75;406;VIA0
12/03/2016;VA_PG_KR_NA;67;263;VIA3
12/03/2016;VA_PG_KR_NA;75;298;VIA2
12/03/2016;VA_PG_KR_NA;77;352;VIA1
12/03/2016;VA_PG_KR_NA;71;349;VIA2
12/03/2016;VA_PG_KR_NA;73;385;VIA2
12/03/2016;VA_PG_KR_NA;78;380;VIA2
12/03/2016;VA_PG_KR_NA;71;335;VIA0
12/03/2016;VA_PG_KR_NA;77;463;VIA3
12/03/2016;VA_PG_KR_NA;81;345;VIA3
12/03/2016;VA_PG_KR_NA;62;194;VB
12/03/2016;VA_PG_KR_NA;71;310;VIA3
12/03/2016;VA_PG_KR_NA;67;283;VIA1
12/03/2016;VA_PG_KR_NA;75;337;VIA3
12/03/2016;VA_PG_KR_NA;72;361;VIA0
12/03/2016;VA_PG_KR_NA;72;327;VIA3
12/03/2016;VA_PG_KR_NA;73;326;VIA1
12/03/2016;VA_PG_KR_NA;75;427;VIA1
12/03/2016;VA_PG_KR_NA;81;486;VIA3
12/03/2016;VA_PG_KR_NA;78;462;VIA1
12/03/2016;VA_PG_KR_NA;76;413;VIA3
12/03/2016;VA_PG_KR_NA;76;300;VIA1
12/03/2016;VA_PG_KR_NA;72;350;VIA2
12/03/2016;VA_PG_KR_NA;73;372;VIA0
12/03/2016;VA_PG_KR_NA;73;328;VIA3
12/03/2016;VA_PG_KR_NA;74;198;VIA0
12/03/2016;VA_PG_KR_NA;69;277;VIA1
12/03/2016;VA_PG_KR_NA;79;451;VIA4
18/03/2016;VA_PG_LO_PA;80;475;VIA3
18/03/2016;VA_PG_LO_PA;73;372;VIA0
18/03/2016;VA_PG_LO_PA;67;291;VB
18/03/2016;VA_PG_LO_PA;82;467;VIA0
18/03/2016;VA_PG_LO_PA;72;341;VIA4
