Year;week n°;Date;Method;Catch
2016;8;15 - 21 Feb;Eel Ladder;0
2016;8;15 - 21 Feb;Artificial Substrates;0
2016;8;15 - 21 Feb;Lift Nets;0
2016;9;22 - 28 Feb;Eel Ladder;0
2016;9;22 - 28 Feb;Artificial Substrates;0
2016;9;22 - 28 Feb;Lift Nets;0
2016;10;29 Feb - 6 March;Eel Ladder;5
2016;10;29 Feb - 6 March;Artificial Substrates;0
2016;10;29 Feb - 6 March;Lift Nets;0
2016;11;7 - 13 March;Eel Ladder;56
2016;11;7 - 13 March;Artificial Substrates;0
2016;11;7 - 13 March;Lift Nets;30
2016;12;14 - 20 March;Eel Ladder;1324
2016;12;14 - 20 March;Artificial Substrates;13
2016;12;14 - 20 March;Lift Nets;17
2016;13;21 - 27 March;Eel Ladder;3114
2016;13;21 - 27 March;Artificial Substrates;90
2016;13;21 - 27 March;Lift Nets;52
2016;14;28 March - 3 April;Eel Ladder;11329
2016;14;28 March - 3 April;Artificial Substrates;7
2016;14;28 March - 3 April;Lift Nets;16
2016;15;4 - 10 April;Eel Ladder;3116
2016;15;4 - 10 April;Artificial Substrates;3
2016;15;4 - 10 April;Lift Nets;2
2016;16;11 - 17 April;Eel Ladder;2222
2016;16;11 - 17 April;Artificial Substrates;24
2016;16;11 - 17 April;Lift Nets;13
2016;17;18 - 24 April ;Eel Ladder;1134
2016;17;18 - 24 April ;Artificial Substrates;13
2016;17;18 - 24 April ;Lift Nets;2
2016;18;25 April - 1 May;Eel Ladder;296
2016;18;25 April - 1 May;Artificial Substrates;10
2016;18;25 April - 1 May;Lift Nets;0
2016;19;2 - 8 May;Eel Ladder;145
2016;19;2 - 8 May;Artificial Substrates;8
2016;19;2 - 8 May;Lift Nets;0
2016;20;9 - 15 May;Eel Ladder;556
2016;20;9 - 15 May;Artificial Substrates;103
2016;20;9 - 15 May;Lift Nets;0
2016;21;16 - 22 May;Eel Ladder;187
2016;21;16 - 22 May;Artificial Substrates;125
2016;21;16 - 22 May;Lift Nets;0
2016;22;23 - 29 May;Eel Ladder;193
2016;22;23 - 29 May;Artificial Substrates;87
2016;22;23 - 29 May;Lift Nets;0
2017;8;13 - 19 Feb;Eel Ladder;0
2017;8;13 - 19 Feb;Artificial Substrates;0
2017;8;13 - 19 Feb;Lift Nets;0
2017;9;20 - 26 Feb;Eel Ladder;5
2017;9;20 - 26 Feb;Artificial Substrates;0
2017;9;20 - 26 Feb;Lift Nets;0
2017;10;27 Feb - 5 March;Eel Ladder;34
2017;10;27 Feb - 5 March;Artificial Substrates;0
2017;10;27 Feb - 5 March;Lift Nets;36
2017;11;6 - 12 March;Eel Ladder;3986
2017;11;6 - 12 March;Artificial Substrates;12
2017;11;6 - 12 March;Lift Nets;134
2017;12;13 - 19 March;Eel Ladder;14583
2017;12;13 - 19 March;Artificial Substrates;44
2017;12;13 - 19 March;Lift Nets;63
2017;13;20 - 26 March;Eel Ladder;30841
2017;13;20 - 26 March;Artificial Substrates;68
2017;13;20 - 26 March;Lift Nets;36
2017;14;27 March - 2 April;Eel Ladder;7588
2017;14;27 March - 2 April;Artificial Substrates;33
2017;14;27 March - 2 April;Lift Nets;20
2017;15;3 - 9 April;Eel Ladder;4722
2017;15;3 - 9 April;Artificial Substrates;71
2017;15;3 - 9 April;Lift Nets;8
2017;16;17 - 23 April;Eel Ladder;2151
2017;16;17 - 23 April;Artificial Substrates;61
2017;16;17 - 23 April;Lift Nets;4
2017;17;24 - 30 April;Eel Ladder;2090
2017;17;24 - 30 April;Artificial Substrates;46
2017;17;24 - 30 April;Lift Nets;0
2017;18;1 - 7 May;Eel Ladder;470
2017;18;1 - 7 May;Artificial Substrates;71
2017;18;1 - 7 May;Lift Nets;0
2017;19;8 - 14 May;Eel Ladder;222
2017;19;8 - 14 May;Artificial Substrates;76
2017;19;8 - 14 May;Lift Nets;0
2017;20;15 - 21 May;Eel Ladder;183
2017;20;15 - 21 May;Artificial Substrates;63
2017;20;15 - 21 May;Lift Nets;0
2017;21;22 - 28 May;Eel Ladder;88
2017;21;22 - 28 May;Artificial Substrates;138
2017;21;22 - 28 May;Lift Nets;0
2017;22;29 May - 4 June;Eel Ladder;0
2017;22;29 May - 4 June;Artificial Substrates;0
2017;22;29 May - 4 June;Lift Nets;0
2018;8;19 - 25 Feb;Eel Ladder;0
2018;8;19 - 25 Feb;Artificial Substrates;0
2018;8;19 - 25 Feb;Lift Nets;0
2018;9;26 Feb - 4 March;Eel Ladder;0
2018;9;26 Feb - 4 March;Artificial Substrates;0
2018;9;26 Feb - 4 March;Lift Nets;0
2018;10;5 - 11 March;Eel Ladder;0
2018;10;5 - 11 March;Artificial Substrates;0
2018;10;5 - 11 March;Lift Nets;0
2018;11;12 - 18 March;Eel Ladder;0
2018;11;12 - 18 March;Artificial Substrates;0
2018;11;12 - 18 March;Lift Nets;0
2018;12;19 - 25 March;Eel Ladder;1
2018;12;19 - 25 March;Artificial Substrates;2
2018;12;19 - 25 March;Lift Nets;17
2018;13;26 March - 1 April;Eel Ladder;435
2018;13;26 March - 1 April;Artificial Substrates;26
2018;13;26 March - 1 April;Lift Nets;307
2018;14;2 - 8 April;Eel Ladder;417
2018;14;2 - 8 April;Artificial Substrates;9
2018;14;2 - 8 April;Lift Nets;206
2018;15;9 - 15 April;Eel Ladder;1807
2018;15;9 - 15 April;Artificial Substrates;16
2018;15;9 - 15 April;Lift Nets;98
2018;16;16 - 22 April;Eel Ladder;4187
2018;16;16 - 22 April;Artificial Substrates;78
2018;16;16 - 22 April;Lift Nets;176
2018;17;23 - 29 April;Eel Ladder;16893
2018;17;23 - 29 April;Artificial Substrates;282
2018;17;23 - 29 April;Lift Nets;123
2018;18;30 April - 6 May;Eel Ladder;8559
2018;18;30 April - 6 May;Artificial Substrates;184
2018;18;30 April - 6 May;Lift Nets;60
2018;19;7 - 13 May;Eel Ladder;423
2018;19;7 - 13 May;Artificial Substrates;74
2018;19;7 - 13 May;Lift Nets;0
2018;20;14 - 20 May;Eel Ladder;7471
2018;20;14 - 20 May;Artificial Substrates;390
2018;20;14 - 20 May;Lift Nets;0
2018;21;21 - 27 May;Eel Ladder;2067
2018;21;21 - 27 May;Artificial Substrates;623
2018;21;21 - 27 May;Lift Nets;0
2018;22;28 May - 3 June;Eel Ladder;158
2018;22;28 May - 3 June;Artificial Substrates;201
2018;22;28 May - 3 June;Lift Nets;0
